[1635773400.0, 0.7467105263157895],
[1635859800.0, 0.75],
[1635946200.0, 0.756578947368421],
[1636032600.0, 0.7796052631578947],
[1636119000.0, 0.7796052631578947],
[1636205400.0, 0.7861842105263158],
[1636291800.0, 0.7828947368421053],
[1636378200.0, 0.7697368421052632],
[1636464600.0, 0.7730263157894737],
[1636551000.0, 0.7861842105263158],
[1636637400.0, 0.7763157894736842],
[1636723800.0, 0.7730263157894737],
[1636810200.0, 0.7664473684210527],
[1636896600.0, 0.7763157894736842],
[1636983000.0, 0.7631578947368421],
[1637069400.0, 0.7598684210526315],
[1637155800.0, 0.7598684210526315],
[1637242200.0, 0.7730263157894737],
[1637328600.0, 0.7861842105263158],
[1637415000.0, 0.7828947368421053],
[1637501400.0, 0.7894736842105263],
[1637587800.0, 0.7927631578947368],
[1637674200.0, 0.7960526315789473],
[1637760600.0, 0.7796052631578947],
[1637847000.0, 0.7993421052631579],
[1637933400.0, 0.8125],
[1638019800.0, 0.8092105263157895],
[1638106200.0, 0.805921052631579],
[1638192600.0, 0.8125],
[1638279000.0, 0.7927631578947368],
[1638365400.0, 0.8026315789473685],
[1638451800.0, 0.7828947368421053],
[1638538200.0, 0.7796052631578947],
[1638624600.0, 0.7796052631578947],
[1638711000.0, 0.7763157894736842],
[1638797400.0, 0.7730263157894737],
[1638883800.0, 0.7697368421052632],
[1638970200.0, 0.7697368421052632],
[1639056600.0, 0.7828947368421053],
[1639143000.0, 0.7763157894736842],
[1639229400.0, 0.7763157894736842],
[1639315800.0, 0.7763157894736842],
[1639402200.0, 0.7763157894736842],
[1639488600.0, 0.7401315789473685],
[1639575000.0, 0.7335526315789473],
[1639661400.0, 0.7401315789473685],
[1639747800.0, 0.7335526315789473],
[1639834200.0, 0.7368421052631579],
[1639920600.0, 0.743421052631579],
[1640007000.0, 0.7532894736842105],
[1640093400.0, 0.7368421052631579],
[1640179800.0, 0.7368421052631579],
[1640266200.0, 0.7697368421052632],
[1640352600.0, 0.7467105263157895],
[1640439000.0, 0.7697368421052632],
[1640525400.0, 0.756578947368421],
[1640611800.0, 0.7697368421052632],
[1640698200.0, 0.7828947368421053],
[1640784600.0, 0.7894736842105263],
